Crew,Unit,ID,Line,Station,Time,Status,First Pick(ms),CTB(us),Uphole Shift(ms),Cap res(ohm),Geo res(ohm),Battery(V),Lat(deg N),Lon(deg E),Alt(m),Wavelet(Base64)
1,1,101035,0,0,2023-03-04 07:42:14.361481,225,0.0,0.0,0,0,0,23.1,25.328259,78.137232,268.8,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101096,0,0,2023-03-04 10:52:46.244923,225,0.0,0.0,0,0,0,23.1,25.325148,78.142066,274.2,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101090,0,0,2023-03-04 10:48:00.384072,225,0.0,0.0,0,0,0,23.3,25.325553,78.141679,275.5,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101089,0,0,2023-03-04 10:46:18.211999,225,0.0,0.0,0,0,0,23.4,25.325703,78.141568,275.1,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101103,0,0,2023-03-04 10:58:28.787273,225,0.0,0.0,0,0,0,23.1,25.324755,78.142470,273.5,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101055,0,0,2023-03-04 07:59:31.292550,225,0.0,0.0,0,0,0,23.1,25.327501,78.139033,272.1,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101042,0,0,2023-03-04 07:49:24.963663,225,0.0,0.0,0,0,0,23.1,25.327883,78.137907,269.5,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101067,0,0,2023-03-04 08:12:22.341754,225,0.0,0.0,0,0,0,22.8,25.327165,78.140149,271.7,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101084,0,0,2023-03-04 10:42:00.733643,225,0.0,0.0,0,0,0,23.4,25.326023,78.141388,274.7,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
1,1,101100,0,0,2023-03-04 10:56:17.483864,225,0.0,0.0,0,0,0,23.1,25.324885,78.142338,274.1,gYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGBgYGB
